pack_id,pack_title,expected_band,puzzle_id,stored_difficulty,stored_score,rerated_difficulty,rerated_score,clues,human_solved,solution_count,aligned,required_techniques
tea_moments,Tea Moments,beginner,tea_moments_001,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_002,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_003,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_004,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_005,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_006,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_007,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_008,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_009,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_010,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_011,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_012,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_013,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_014,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_015,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_016,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_017,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_018,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_019,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_020,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_021,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_022,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_023,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_024,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_025,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_026,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_027,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_028,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_029,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_030,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_031,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_032,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_033,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_034,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_035,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_036,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_037,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_038,beginner,78,beginner,78,42,true,1,true,naked_single
tea_moments,Tea Moments,beginner,tea_moments_039,beginner,78,beginner,78,42,true,1,true,naked_single
